==91178== NVPROF is profiling process 91178, command: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-forward
==91178== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==91178== Profiling application: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-forward
==91178== Profiling result:
==91178== Metric result:
Invocations                               Metric Name                            Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: void kernelPointwiseApply2<TensorMulOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
          2                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          2                  l2_tex_read_transactions               L2 Transactions (Texture Reads)    56962421    67719318    62340869
          2                 l2_tex_write_transactions              L2 Transactions (Texture Writes)     1931769     1932045     1931907
          2                  shared_load_transactions                      Shared Load Transactions    42418944    49939200    46179072
          2                 shared_store_transactions                     Shared Store Transactions    22267008    26027136    24147072
          2                        tex_cache_hit_rate                        Unified Cache Hit Rate      63.79%      63.83%      63.81%
          2                    tex_cache_transactions                    Unified Cache Transactions    75251712    89361408    82306560
    Kernel: void CatArrayBatchedCopy<float, unsigned int, int=4>(float*, CatArrInputTensor<float, unsigned int>*, OutputTensorSizeStride<unsigned int, unsigned int=4>, int, unsigned int)
          2                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          2                             flop_count_sp   Floating Point Operations(Single Precision)           0           0           0
          2                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          2                                inst_fp_64                       FP Instructions(Double)           0           0           0
          2                                inst_fp_32                       FP Instructions(Single)      184320      460800      322560
          2                                inst_fp_16                         HP Instructions(Half)           0           0           0
          2                              inst_integer                          Integer Instructions   192640310   671467580   432053945
          2                  gld_requested_throughput              Requested Global Load Throughput  176.07GB/s  182.07GB/s  180.73GB/s
