==1388673== NVPROF is profiling process 1388673, command: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset coco --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==1388673== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1388673== Profiling application: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset coco --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==1388673== Profiling result:
==1388673== Metric result:
Invocations                               Metric Name                            Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: void cudnn::detail::wgrad_alg1_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, bool=0>(int, int, int, float const *, int, float*, float const , kernel_grad_params, int, float, float, int, int, int*, kernel_grad_params, int, int)
          2                            gld_efficiency                 Global Memory Load Efficiency      32.32%      32.35%      32.34%
          2                            gld_throughput                        Global Load Throughput  1101.6GB/s  1148.8GB/s  1122.6GB/s
          2                            gst_efficiency                Global Memory Store Efficiency      99.96%      99.96%      99.96%
          2                            gst_throughput                       Global Store Throughput  68.383GB/s  72.056GB/s  70.015GB/s
          2                         shared_efficiency                      Shared Memory Efficiency     178.87%     178.87%     178.87%
          2                           global_hit_rate             Global Hit Rate in unified l1/tex      62.05%      62.47%      62.26%
          2                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          2                  l2_tex_read_transactions               L2 Transactions (Texture Reads)    61090701    74065314    67578007
          2                 l2_tex_write_transactions              L2 Transactions (Texture Writes)     9515556    11299884    10407720
          2                  shared_load_transactions                      Shared Load Transactions    83257632   101759328    92508480
          2                 shared_store_transactions                     Shared Store Transactions    14675040    17936160    16305600
          2                        tex_cache_hit_rate                        Unified Cache Hit Rate      60.79%      61.16%      60.98%
          2                    tex_cache_transactions                    Unified Cache Transactions    50810852    60903558    55857205
          2                    dram_read_transactions               Device Memory Read Transactions     8110178    12440978    10275578
          2                   dram_write_transactions              Device Memory Write Transactions     7318844     9987274     8653059
    Kernel: void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)
          2                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          2                             flop_count_sp   Floating Point Operations(Single Precision)           0           0           0
          2                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          2                                inst_fp_64                       FP Instructions(Double)           0           0           0
          2                                inst_fp_32                       FP Instructions(Single)           0           0           0
          2                                inst_fp_16                         HP Instructions(Half)           0           0           0
          2                              inst_integer                          Integer Instructions    18399744   281166336   149783040
          2                  gld_requested_throughput              Requested Global Load Throughput  184.93GB/s  216.85GB/s  214.58GB/s
          2                  gst_requested_throughput             Requested Global Store Throughput  184.93GB/s  216.85GB/s  214.58GB/s
          2                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                            gld_efficiency                 Global Memory Load Efficiency      50.00%      50.00%      50.00%
          2                            gld_throughput                        Global Load Throughput  369.85GB/s  433.70GB/s  429.15GB/s
          2                            gst_efficiency                Global Memory Store Efficiency     100.00%     100.00%     100.00%
          2                            gst_throughput                       Global Store Throughput  184.93GB/s  216.85GB/s  214.58GB/s
          2                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
          2                           global_hit_rate             Global Hit Rate in unified l1/tex      50.00%      50.00%      50.00%
          2                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          2                  l2_tex_read_transactions               L2 Transactions (Texture Reads)       69696     1065024      567360
          2                 l2_tex_write_transactions              L2 Transactions (Texture Writes)       69696     1065024      567360
          2                  shared_load_transactions                      Shared Load Transactions           0           0           0
          2                 shared_store_transactions                     Shared Store Transactions           0           0           0
          2                        tex_cache_hit_rate                        Unified Cache Hit Rate      50.00%      50.00%      50.00%
          2                    tex_cache_transactions                    Unified Cache Transactions       69696     1065024      567360
          2                    dram_read_transactions               Device Memory Read Transactions       69735     1065031      567383
          2                   dram_write_transactions              Device Memory Write Transactions       63375     1058406      560890
    Kernel: void atomicadaptiveaveragegradinput<float>(float*, float*, int, int, int, int)
          1                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp   Floating Point Operations(Single Precision)     2150400     2150400     2150400
          1                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          1                                inst_fp_64                       FP Instructions(Double)           0           0           0
          1                                inst_fp_32                       FP Instructions(Single)     2244608     2244608     2244608
          1                                inst_fp_16                         HP Instructions(Half)           0           0           0
          1                              inst_integer                          Integer Instructions    26558464    26558464    26558464
          1                  gld_requested_throughput              Requested Global Load Throughput  43.125MB/s  43.125MB/s  43.125MB/s
          1                  gst_requested_throughput             Requested Global Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                 Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gld_throughput                        Global Load Throughput  345.00MB/s  345.00MB/s  345.00MB/s
          1                            gst_efficiency                Global Memory Store Efficiency       0.00%       0.00%       0.00%
          1                            gst_throughput                       Global Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                           global_hit_rate             Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          1                  l2_tex_read_transactions               L2 Transactions (Texture Reads)        4096        4096        4096
          1                 l2_tex_write_transactions              L2 Transactions (Texture Writes)           0           0           0
          1                  shared_load_transactions                      Shared Load Transactions           0           0           0
          1                 shared_store_transactions                     Shared Store Transactions           0           0           0
          1                        tex_cache_hit_rate                        Unified Cache Hit Rate      99.91%      99.91%      99.91%
          1                    tex_cache_transactions                    Unified Cache Transactions        4096        4096        4096
          1                    dram_read_transactions               Device Memory Read Transactions      560418      560418      560418
          1                   dram_write_transactions              Device Memory Write Transactions      560756      560756      560756
    Kernel: maxwell_scudnn_winograd_128x128_ldg1_ldg4_tile148n_nt
          3                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          3                             flop_count_sp   Floating Point Operations(Single Precision)  2488578048  2.6791e+10  1.6904e+10
          3                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          3                                inst_fp_64                       FP Instructions(Double)           0           0           0
          3                                inst_fp_32                       FP Instructions(Single)  1291969536  1.3751e+10  8681317376
          3                                inst_fp_16                         HP Instructions(Half)           0           0           0
          3                              inst_integer                          Integer Instructions    90732672   519978240   342231168
          3                  gld_requested_throughput              Requested Global Load Throughput  573.86GB/s  951.65GB/s  920.25GB/s
          3                  gst_requested_throughput             Requested Global Store Throughput  13.000GB/s  34.432GB/s  15.018GB/s
          3                    shared_load_throughput                 Shared Memory Load Throughput  1474.0GB/s  2184.3GB/s  2124.8GB/s
          3                   shared_store_throughput                Shared Memory Store Throughput  863.33GB/s  1146.6GB/s  1122.6GB/s
          3                            gld_efficiency                 Global Memory Load Efficiency      45.35%      46.25%      45.95%
          3                            gld_throughput                        Global Load Throughput  1265.4GB/s  2057.8GB/s  1991.9GB/s
          3                            gst_efficiency                Global Memory Store Efficiency      55.13%      55.87%      55.38%
          3                            gst_throughput                       Global Store Throughput  23.581GB/s  61.631GB/s  27.175GB/s
          3                         shared_efficiency                      Shared Memory Efficiency     155.06%     163.15%     160.45%
          3                           global_hit_rate             Global Hit Rate in unified l1/tex      64.34%      71.34%      66.70%
          3                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          3                  l2_tex_read_transactions               L2 Transactions (Texture Reads)     5565420    71113344    44559061
          3                 l2_tex_write_transactions              L2 Transactions (Texture Writes)      945791     2294192     1723917
          3                  shared_load_transactions                      Shared Load Transactions     5654880    53023680    33699168
          3                 shared_store_transactions                     Shared Store Transactions     3312144    27833760    17804304
          3                        tex_cache_hit_rate                        Unified Cache Hit Rate      63.70%      68.52%      65.32%
          3                    tex_cache_transactions                    Unified Cache Transactions     8888832    94064640    59401728
          3                    dram_read_transactions               Device Memory Read Transactions     1731075    14610831    10069087
          3                   dram_write_transactions              Device Memory Write Transactions     1278305     3240854     2415904
    Kernel: void kernelPointwiseApply2<TensorDivConstantOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorDivConstantOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
          1                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp   Floating Point Operations(Single Precision)           1           1           1
          1                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          1                                inst_fp_64                       FP Instructions(Double)           0           0           0
          1                                inst_fp_32                       FP Instructions(Single)           1           1           1
          1                                inst_fp_16                         HP Instructions(Half)           0           0           0
          1                              inst_integer                          Integer Instructions        2064        2064        2064
          1                  gld_requested_throughput              Requested Global Load Throughput  1.8773MB/s  1.8773MB/s  1.8768MB/s
          1                  gst_requested_throughput             Requested Global Store Throughput  1.8773MB/s  1.8773MB/s  1.8768MB/s
          1                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                 Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gld_throughput                        Global Load Throughput  15.018MB/s  15.018MB/s  15.018MB/s
          1                            gst_efficiency                Global Memory Store Efficiency      12.50%      12.50%      12.50%
          1                            gst_throughput                       Global Store Throughput  15.018MB/s  15.018MB/s  15.018MB/s
          1                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                           global_hit_rate             Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          1                  l2_tex_read_transactions               L2 Transactions (Texture Reads)           1           1           1
