==10627== NVPROF is profiling process 10627, command: python -m graphsage.model --prof-backprop
==10627== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10627== Profiling application: python -m graphsage.model --prof-backprop
==10627== Profiling result:
==10627== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
         11                            gld_efficiency                              Global Memory Load Efficiency      88.72%     100.00%      98.97%
         11                            gld_throughput                                     Global Load Throughput  209.02GB/s  601.72GB/s  354.93GB/s
         11                            gst_efficiency                             Global Memory Store Efficiency      88.65%     100.00%      98.97%
         11                            gst_throughput                                    Global Store Throughput  3.2660GB/s  4.1107GB/s  3.7031GB/s
         11                         shared_efficiency                                   Shared Memory Efficiency      67.05%      67.89%      67.81%
         11                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       5.68%       0.52%
         11                      global_load_requests   Total number of global load requests from Multiprocessor       32768      341248       60811
         11                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         11                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         11                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         11                           l2_tex_hit_rate                                          L2 Cache Hit Rate      73.85%      80.42%      74.44%
         11                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)      131072     1426237      248814
         11                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        2048        9024        2682
         11                  shared_load_transactions                                   Shared Load Transactions       71680      714632      130130
         11                 shared_store_transactions                                  Shared Store Transactions       37120      361472       66606
         11                        tex_cache_hit_rate                                     Unified Cache Hit Rate       1.52%      15.73%       2.81%
         11                    tex_cache_transactions                                 Unified Cache Transactions      131072     1364992      243246
         11                    dram_read_transactions                            Device Memory Read Transactions       32846      270084       55377
         11                   dram_write_transactions                           Device Memory Write Transactions       10311       31091       14238
    Kernel: maxwell_sgemm_128x64_nt
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)   672399360   739639296   702657331
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)   336537600   370191360   351681792
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         10                              inst_integer                                       Integer Instructions    15421344    16674272    15986230
         10                  gld_requested_throughput                           Requested Global Load Throughput  226.60GB/s  236.25GB/s  230.35GB/s
         10                  gst_requested_throughput                          Requested Global Store Throughput  17.889GB/s  18.778GB/s  18.305GB/s
         10                    shared_load_throughput                              Shared Memory Load Throughput  1202.4GB/s  1255.0GB/s  1224.3GB/s
         10                   shared_store_throughput                             Shared Memory Store Throughput  257.30GB/s  268.54GB/s  261.97GB/s
         10                            gld_efficiency                              Global Memory Load Efficiency      86.95%      92.07%      88.33%
         10                            gld_throughput                                     Global Load Throughput  247.49GB/s  267.60GB/s  260.81GB/s
         10                            gst_efficiency                             Global Memory Store Efficiency      81.87%      88.72%      83.65%
         10                            gst_throughput                                    Global Store Throughput  20.479GB/s  22.625GB/s  21.890GB/s
         10                         shared_efficiency                                   Shared Memory Efficiency      47.85%      47.85%      47.85%
         10                           global_hit_rate                          Global Hit Rate in unified l1/tex       5.77%       9.30%       8.27%
         10                      global_load_requests   Total number of global load requests from Multiprocessor     1030788     1122592     1079280
         10                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         10                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         10                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         10                           l2_tex_hit_rate                                          L2 Cache Hit Rate      50.11%      56.13%      52.89%
         10                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)     1046718     1134520     1095713
         10                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)       95312      104500      100256
         10                  shared_load_transactions                                   Shared Load Transactions     1341440     1475584     1401804
         10                 shared_store_transactions                                  Shared Store Transactions      287040      315744      299956
         10                        tex_cache_hit_rate                                     Unified Cache Hit Rate      48.78%      53.76%      52.47%
         10                    tex_cache_transactions                                 Unified Cache Transactions     1032932     1121128     1080126
         10                    dram_read_transactions                            Device Memory Read Transactions      513896      594485      549263
         10                   dram_write_transactions                           Device Memory Write Transactions       47462       76418       65518
    Kernel: void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)        3232        3232        3232
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)        2208        2208        2208
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         10                              inst_integer                                       Integer Instructions       12160       12160       12160
         10                  gld_requested_throughput                           Requested Global Load Throughput  233.10MB/s  241.53MB/s  237.65MB/s
         10                  gst_requested_throughput                          Requested Global Store Throughput  225.82MB/s  233.99MB/s  230.23MB/s
         10                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                            gld_efficiency                              Global Memory Load Efficiency      45.72%      45.72%      45.72%
         10                            gld_throughput                                     Global Load Throughput  509.86MB/s  528.31MB/s  519.83MB/s
         10                            gst_efficiency                             Global Memory Store Efficiency      25.00%      25.00%      25.00%
         10                            gst_throughput                                    Global Store Throughput  903.28MB/s  935.97MB/s  920.94MB/s
         10                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         10                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         10                      global_load_requests   Total number of global load requests from Multiprocessor         260         260         260
         10                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         10                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         10                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         10                           l2_tex_hit_rate                                          L2 Cache Hit Rate      35.83%      35.83%      35.83%
         10                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)         289         289         289
         10                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)         512         512         512
         10                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         10                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         10                        tex_cache_hit_rate                                     Unified Cache Hit Rate      11.00%      11.00%      11.00%
         10                    tex_cache_transactions                                 Unified Cache Transactions         260         260         260
         10                    dram_read_transactions                            Device Memory Read Transactions         320        3256        1121
         10                   dram_write_transactions                           Device Memory Write Transactions         122         477         367
    Kernel: void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)           0           0           0
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
