Name, Total Duration (ms), Kernel Time/GPU Time, FOPs(HP)/Bytes Read+Write, FOPs(SP)/Bytes Read+Write, FOPs(DP)/Bytes Read+Write, Global Store Req Throughput/Global Store Actual Throughput, Global Load Req Throughput/Global Load Actual Throughput, Invocations, Avg. Duration(ns), Registers/Thread, Static Shared Memory, Avg. Dynamic Shared Memory, Global Memory Store Efficiency(%), Unified Cache Transactions, HP Instructions(Half), Floating Point Operations(Double Precision), Floating Point Operations(Single Precision), Global Hit Rate in unified l1/tex(%), Local Hit Rate(%), L2 Transactions (Texture Reads), Requested Global Load Throughput(bytes/sec), Requested Global Store Throughput(bytes/sec), L2 Transactions (Texture Writes), Global Load Throughput(bytes/sec), Global Store Throughput(bytes/sec), Unified Cache Hit Rate(%), Shared Memory Efficiency(%), FP Instructions(Single), FP Instructions(Double), Integer Instructions, Shared Store Transactions, Shared Load Transactions, Floating Point Operations(Half Precision), Shared Memory Load Throughput(bytes/sec), Shared Memory Store Throughput(bytes/sec), Global Memory Load Efficiency(%)
"void csrMmt_hyb_core<float, int=5, int=3>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",31.36645,0.001790472,0,0.054290868,0,0.36356351,0.433076415,10,10950896,32,3496,0,36.363,100031594,0,0,1534360992,48.678,0,121619697,2.91E+11,2722000000,2562636,6.73E+11,7487000000,48.158,98.895,784063296,0,5931320890,2390818,49542154,0,5.79E+11,27944000000,43.308
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>, long*, long>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1, thrust::detail::integral_constant<bool, bool=1>, thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>)",30.70536,0.001752735,0,0,0,1,0.911410901,280,1802308,72,0,16912,100,13188876,0,0,0,36.477,0,12913152,2.09E+11,2.08E+11,11723402,2.29E+11,2.08E+11,23.198,47.652,0,0,1217070557,8792834,22918876,0,1.63E+12,6.24E+11,91.156
_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIdZNS0_15sum_kernel_implIddEEvRNS_14TensorIteratorEEUlddE_EEEEvT0_,30.69424,0.0017521,0,0,4.28E-05,0.241935484,0.999991589,10,11758,32,0,4096,25,56390,0,191866,0,0,50,56359,1.19E+11,15000000,12695,1.19E+11,62000000,26.865,99.144,11776,191866,2385774,1448,1042,0,11342000000,15762000000,99.999
_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi1ELi2ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_,26.45316,0.001510009,0,0,0,1,0.124997865,40,453509,11,0,0,100,829938,0,0,0,33.939,0,4444345,58560000000,58560000000,829938,4.68E+11,58560000000,37.151,0,6639502,0,332210203,0,0,0,0,0,12.5
_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_,20.08274,0.001146371,0,0,0,1,0.779848394,10,70338,8,0,0,100,929751,0,0,0,46.88,0,931103,3.30E+11,2.12E+11,465930,4.24E+11,2.12E+11,47.963,0,3727440,0,74549664,0,0,0,0,0,77.985
_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIdhE5applyERNS_6TensorERKS6_EUlRdRKhE_dhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_,18.14036,0.001035495,0,0,0,1,0.249989607,10,4842,11,0,0,100,21841,0,0,0,74.997,0,5461,36082000000,2.89E+11,43681,1.44E+11,2.89E+11,24.999,0,0,0,3845448,0,0,0,0,0,24.999
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long, unsigned long, long*, ThrustLTOp<long>, long, int>(thrust::device_ptr<long>, long, long, ThrustLTOp<long>, thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long)",15.71112,0.000896828,0,0,0,1,0.249997454,280,109662,23,0,0,99.983,93494,0,0,0,0.254,0,336478,24546000000,834000000,2863,98185000000,834000000,0.252,0,0,0,4019846,0,0,0,0,0,25
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_unary_kernelIZNS0_17div_constant_implIdEEvRNS_14TensorIteratorET_EUldE_EEvS5_RKS6_EUliE0_EEviT1_,11.3436,0.00064752,0,0,1.47E-05,0.230769231,0.230769231,10,2252,12,0,0,25,2,0,1,0,0,0,1,3000000,3000000,1,13000000,13000000,0,0,0,1,646,0,0,0,0,0,25
"void at::native::apply::coalesceValuesKernel<float, float>(long*, at::native::apply::coalesceValuesKernel<float, float>, float*, float, long, long, long)",5.76724,0.000329208,0,0.16844197,0,0.12499029,0.124993527,20,19427634,32,0,0,12.5,304808435,0,0,23446803,69.231,0,93787211,19309000000,4827000000,23446803,1.54E+11,38619000000,64.286,0,23446803,0,51770541152,0,0,0,0,0,12.5
_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIlZNS0_15sum_kernel_implIllEEvRNS_14TensorIteratorEEUlllE_EEEEvT0_,3.99842,0.000228239,0,0,0,1,0.941174885,20,1534712,32,0,0,100,14654255,0,0,0,29.167,50,15386966,2.44E+11,1.22E+11,8792552,2.60E+11,1.22E+11,31.25,0,0,0,2368140612,0,0,0,0,0,94.118
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",1.43001,8.16E-05,0,0,0,0.999809172,1,10,11115,10,0,0,99.984,87364,0,0,0,0,0,87362,2.52E+11,15718000000,5461,2.52E+11,15721000000,15,0,0,0,4719068,0,0,0,0,0,100
_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIlEEvRNS_14TensorIteratorEN3c106ScalarEEUlllE_EEvS5_RKT_EUliE_EEviT1_,0.70338,4.02E-05,0,0,0,0.941174177,0.969695854,40,1295305,18,0,0,94.444,11723404,0,0,0,14.583,0,12089758,2.90E+11,1.45E+11,6228057,2.99E+11,1.54E+11,17.5,0,0,0,867532185,0,0,0,0,0,97.059
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_,0.26492,1.51E-05,0,0,0,1,0.719368465,20,199921,40,0,0,100,2686383,0,0,0,56.529,0,1381412,1.59E+11,1.43E+11,895461,2.21E+11,1.43E+11,54.176,0,0,0,594586120,0,0,0,0,0,71.937
_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIilE5applyERNS_6TensorERKS6_EUlRiRKlE_iljLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_,0.11758,6.71E-06,0,0,0,1,0.333331766,40,661329,8,0,0,100,2930851,0,0,0,23.34,0,6056327,1.42E+11,1.42E+11,2930851,4.25E+11,1.42E+11,36.393,0,0,0,539277417,0,0,0,0,0,37.5
"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)",0.11115,6.34E-06,0,3.53039535,0, N/A,0.201175407,10,3136645,32,256,0,12.5,43683,0,0,524251,0.11,0,216968,445000000,0,5,2212000000,0,0.11,99.847,349523,0,2097517,10924,10954,0,446000000,445000000,20.133
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>(thrust::use_default, thrust::use_default)",0.0531,3.03E-06,0,0,0,1, N/A,40,392778,10,0,0,100,0,0,0,0,0,0,0,0,4.78E+11,5861701,0,4.78E+11,0,0,0,0,199299641,0,0,0,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int, int*>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int*, int, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long>(thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, long, thrust::equal_to<long>, int, int*, thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust",0.04842,2.76E-06,0,0,0,0.990738497,0.86180078,20,1770438,64,0,2576,99.074,15059646,0,0,0,11.85,0,14190729,2.29E+11,2.13E+11,11869948,2.65E+11,2.15E+11,6.872,97.854,0,0,860496044,6594478,6740994,0,4.87E+11,4.77E+11,86.181
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_,0.02252,1.29E-06,0,0,0,0.499997631,0.615376765,20,13246,38,0,0,50,87364,0,0,0,34.999,0,141965,2.11E+11,1.06E+11,87362,3.43E+11,2.11E+11,24.999,0,0,0,11008120,0,0,0,0,0,61.538
