Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=2, int=1>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",198,964,10,0,0,46.152,0,144,0,0,0,0,143,2455000000,2455000000,2459000000,333,5719000000,29.631,0,0,0,39137,0,0,0,0,0,98.074,279,339,31.656,144,0,0
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",532,1161,8,0,0,99.816,0,1869,0,0,73.36,0,333,33676000000,34031000000,33707000000,1869,34032000000,68.398,0,0,0,494221,0,0,0,0,0,94.275,514,237,14.426,1869,0,0
"void kernelPointwiseApply2<TensorMaxValueOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMaxValueOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",399,1162,8,0,0,100,0,2436,0,0,0,0,2436,32226000000,32226000000,32226000000,2436,32226000000,50,0,19491,0,390182,0,0,0,0,0,100,948,2669,0,2436,0,0
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=2, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",132,1217,10,0,0,40.944,0,78,0,0,5.881,0,92,1345000000,1345000000,1711000000,245,4284000000,26.818,0,0,0,30206,0,0,0,0,0,72.003,392,280,32.131,78,0,0
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=2, int=-1>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",66,1915,28,0,0,43.392,0,394,0,0,70.834,0,74,2276000000,4469000000,3094000000,891,10109000000,47.437,0,6306,0,386790,0,0,0,0,0,69.707,714,396,50.135,394,0,0
"void kernelPointwiseApply3<TensorMulOp<float>, float, float, float, unsigned int, int=1, int=-1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=-1>, float, float)",66,2054,27,0,0,99.799,0,642,0,2566,0,0,434,4046000000,3626000000,4921000000,321,3631000000,53.868,0,7700,0,297477,0,0,0,0,0,82.185,51,638,10.184,642,0,0
"void kernelReduceNoncontigDim_shared<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=2>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, unsigned int, float, float, thrust::identity<float>, float, float volatile *, int*)",67,2419,25,2064,0,95.618,0,348,0,4535,0,0,573,3404000000,154000000,6033000000,15,158000000,39.528,99.815,6606,0,202646,125,125,0,5269000000,5269000000,53.806,76,726,44.995,348,0,0
"sgemm_32x32x32_NT",132,3436,153,16912,0,100,0,6334,0,1682773,69.789,0,5912,35482000000,11151000000,117878000000,1840,11151000000,73.212,75.871,967338,0,310613,5717,8874,0,220310000000,142032000000,29.88,653,3354,48.179,6334,0,0
"sgemm_32x32x32_NT_vec",400,4143,153,16912,0,89.333,0,23343,0,6200374,0.413,0,23320,133605000000,10893000000,133753000000,1912,11041000000,10.123,71.433,3235605,0,419812,10435,18163,0,412868000000,237300000000,99.163,2034,7889,39.026,7261,0,0
