==101352== NVPROF is profiling process 101352, command: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==101352== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==101352== Profiling application: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==101352== Profiling result:
==101352== Metric result:
Invocations                               Metric Name                            Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
          2                           global_hit_rate             Global Hit Rate in unified l1/tex      50.00%      50.00%      50.00%
          2                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          2                  l2_tex_read_transactions               L2 Transactions (Texture Reads)       69696     1065024      567360
          2                 l2_tex_write_transactions              L2 Transactions (Texture Writes)       69696     1065024      567360
          2                  shared_load_transactions                      Shared Load Transactions           0           0           0
          2                 shared_store_transactions                     Shared Store Transactions           0           0           0
          2                        tex_cache_hit_rate                        Unified Cache Hit Rate      50.00%      50.00%      50.00%
          2                    tex_cache_transactions                    Unified Cache Transactions       69696     1065024      567360
    Kernel: void atomicadaptiveaveragegradinput<float>(float*, float*, int, int, int, int)
          1                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp   Floating Point Operations(Single Precision)     2150400     2150400     2150400
          1                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          1                                inst_fp_64                       FP Instructions(Double)           0           0           0
          1                                inst_fp_32                       FP Instructions(Single)     2244608     2244608     2244608
          1                                inst_fp_16                         HP Instructions(Half)           0           0           0
          1                              inst_integer                          Integer Instructions    14745600    14745600    14745600
          1                  gld_requested_throughput              Requested Global Load Throughput  42.916MB/s  42.916MB/s  42.916MB/s
          1                  gst_requested_throughput             Requested Global Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                 Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gld_throughput                        Global Load Throughput  343.33MB/s  343.33MB/s  343.33MB/s
          1                            gst_efficiency                Global Memory Store Efficiency       0.00%       0.00%       0.00%
          1                            gst_throughput                       Global Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                           global_hit_rate             Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          1                  l2_tex_read_transactions               L2 Transactions (Texture Reads)        4096        4096        4096
          1                 l2_tex_write_transactions              L2 Transactions (Texture Writes)           0           0           0
          1                  shared_load_transactions                      Shared Load Transactions           0           0           0
          1                 shared_store_transactions                     Shared Store Transactions           0           0           0
          1                        tex_cache_hit_rate                        Unified Cache Hit Rate      99.91%      99.91%      99.91%
          1                    tex_cache_transactions                    Unified Cache Transactions        4096        4096        4096
    Kernel: maxwell_scudnn_winograd_128x128_ldg1_ldg4_tile148n_nt
          3                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          3                             flop_count_sp   Floating Point Operations(Single Precision)  2488578048  2.6791e+10  1.6904e+10
          3                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          3                                inst_fp_64                       FP Instructions(Double)           0           0           0
          3                                inst_fp_32                       FP Instructions(Single)  1291969536  1.3751e+10  8681317376
          3                                inst_fp_16                         HP Instructions(Half)           0           0           0
          3                              inst_integer                          Integer Instructions    90732672   519978240   342231168
          3                  gld_requested_throughput              Requested Global Load Throughput  577.07GB/s  1013.2GB/s  943.09GB/s
          3                  gst_requested_throughput             Requested Global Store Throughput  13.440GB/s  34.625GB/s  15.391GB/s
          3                    shared_load_throughput                 Shared Memory Load Throughput  1482.2GB/s  2325.5GB/s  2177.6GB/s
          3                   shared_store_throughput                Shared Memory Store Throughput  868.16GB/s  1220.7GB/s  1150.5GB/s
          3                            gld_efficiency                 Global Memory Load Efficiency      45.35%      46.25%      45.95%
          3                            gld_throughput                        Global Load Throughput  1272.5GB/s  2190.8GB/s  2041.3GB/s
          3                            gst_efficiency                Global Memory Store Efficiency      55.12%      55.87%      55.38%
          3                            gst_throughput                       Global Store Throughput  24.378GB/s  61.970GB/s  27.849GB/s
          3                         shared_efficiency                      Shared Memory Efficiency     155.06%     163.15%     160.45%
          3                           global_hit_rate             Global Hit Rate in unified l1/tex      64.36%      71.34%      66.72%
          3                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          3                  l2_tex_read_transactions               L2 Transactions (Texture Reads)     5564208    71116661    44548855
          3                 l2_tex_write_transactions              L2 Transactions (Texture Writes)      945687     2294349     1723939
          3                  shared_load_transactions                      Shared Load Transactions     5654880    53023680    33699168
          3                 shared_store_transactions                     Shared Store Transactions     3312144    27833760    17804304
          3                        tex_cache_hit_rate                        Unified Cache Hit Rate      63.74%      68.53%      65.36%
          3                    tex_cache_transactions                    Unified Cache Transactions     8888832    94064640    59401728
    Kernel: void kernelPointwiseApply2<TensorDivConstantOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorDivConstantOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
          1                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp   Floating Point Operations(Single Precision)           1           1           1
          1                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          1                                inst_fp_64                       FP Instructions(Double)           0           0           0
          1                                inst_fp_32                       FP Instructions(Single)           1           1           1
          1                                inst_fp_16                         HP Instructions(Half)           0           0           0
          1                              inst_integer                          Integer Instructions        2062        2062        2062
          1                  gld_requested_throughput              Requested Global Load Throughput  2.0205MB/s  2.0205MB/s  2.0200MB/s
          1                  gst_requested_throughput             Requested Global Store Throughput  2.0205MB/s  2.0205MB/s  2.0200MB/s
          1                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                 Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gld_throughput                        Global Load Throughput  16.164MB/s  16.164MB/s  16.163MB/s
          1                            gst_efficiency                Global Memory Store Efficiency      12.50%      12.50%      12.50%
          1                            gst_throughput                       Global Store Throughput  16.164MB/s  16.164MB/s  16.163MB/s
          1                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                           global_hit_rate             Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
