==10981== NVPROF is profiling process 10981, command: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 2 --model MPNNv1 --log-interval 20 --profile-epoch-list 1 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_02__2
==10981== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10981== Profiling application: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 2 --model MPNNv1 --log-interval 20 --profile-epoch-list 1 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_02__2
==10981== Profiling result:
==10981== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
          8                    shared_load_throughput                              Shared Memory Load Throughput  132.82GB/s  1667.2GB/s  1334.1GB/s
          8                   shared_store_throughput                             Shared Memory Store Throughput  32.712GB/s  938.23GB/s  736.42GB/s
          8                            gld_efficiency                              Global Memory Load Efficiency      55.59%      77.12%      64.22%
          8                            gld_throughput                                     Global Load Throughput  10.175GB/s  123.97GB/s  65.538GB/s
          8                            gst_efficiency                             Global Memory Store Efficiency      77.66%      77.71%      77.68%
          8                            gst_throughput                                    Global Store Throughput  1.6623GB/s  178.36GB/s  88.902GB/s
          8                         shared_efficiency                                   Shared Memory Efficiency      48.41%      55.48%      51.42%
          8                           global_hit_rate                          Global Hit Rate in unified l1/tex      19.08%      31.26%      25.49%
          8                      global_load_requests   Total number of global load requests from Multiprocessor       16635     3303090      926274
          8                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
          8                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
          8                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
          8                           l2_tex_hit_rate                                          L2 Cache Hit Rate       5.55%      58.43%      41.63%
          8                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)       16776     3124594      849250
          8                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        2466     3782676     1432382
          8                  shared_load_transactions                                   Shared Load Transactions       30208    12983040     5373888
          8                 shared_store_transactions                                  Shared Store Transactions        7440     4974480     2966310
          8                        tex_cache_hit_rate                                     Unified Cache Hit Rate      47.94%      58.41%      54.17%
          8                    tex_cache_transactions                                 Unified Cache Transactions       16635     3303090      926274
    Kernel: sgemm_32x32x32_NN_vec
         63                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         63                             flop_count_sp                Floating Point Operations(Single Precision)      333312   299228160    15754077
         63                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         63                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         63                                inst_fp_32                                    FP Instructions(Single)      198144   153959424     8123944
         63                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         63                              inst_integer                                       Integer Instructions       68096    17240064      939446
         63                  gld_requested_throughput                           Requested Global Load Throughput  1.2169GB/s  578.10GB/s  195.81GB/s
         63                  gst_requested_throughput                          Requested Global Store Throughput  1.0629GB/s  36.107GB/s  12.739GB/s
         63                    shared_load_throughput                              Shared Memory Load Throughput  32.940GB/s  1590.9GB/s  562.21GB/s
         63                   shared_store_throughput                             Shared Memory Store Throughput  20.572GB/s  885.82GB/s  314.49GB/s
         63                            gld_efficiency                              Global Memory Load Efficiency      99.38%     100.00%      99.80%
         63                            gld_throughput                                     Global Load Throughput  1.2245GB/s  578.10GB/s  195.81GB/s
         63                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         63                            gst_throughput                                    Global Store Throughput  1.0629GB/s  36.107GB/s  12.739GB/s
         63                         shared_efficiency                                   Shared Memory Efficiency      70.29%      74.39%      72.21%
         63                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       1.99%       0.08%
         63                      global_load_requests   Total number of global load requests from Multiprocessor          92      282432       14575
         63                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         63                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         63                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         63                           l2_tex_hit_rate                                          L2 Cache Hit Rate      14.63%      82.12%      27.55%
         63                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)         320     1114320       57393
         63                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)         336       70560        3786
         63                  shared_load_transactions                                   Shared Load Transactions        2152      777232       41780
         63                 shared_store_transactions                                  Shared Store Transactions        1344      432768       23371
         63                        tex_cache_hit_rate                                     Unified Cache Hit Rate       4.51%      33.87%      15.14%
         63                    tex_cache_transactions                                 Unified Cache Transactions         368     1129728       58301
    Kernel: void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*)
          3                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
          3                             flop_count_sp                Floating Point Operations(Single Precision)    36237312    36237312    36237312
          3                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
          3                                inst_fp_64                                    FP Instructions(Double)           0           0           0
          3                                inst_fp_32                                    FP Instructions(Single)    18139136    18139136    18139136
          3                                inst_fp_16                                      HP Instructions(Half)           0           0           0
          3                              inst_integer                                       Integer Instructions     3482646     3482811     3482703
          3                  gld_requested_throughput                           Requested Global Load Throughput  55.191GB/s  56.864GB/s  56.041GB/s
          3                  gst_requested_throughput                          Requested Global Store Throughput  276.98MB/s  285.42MB/s  281.27MB/s
          3                    shared_load_throughput                              Shared Memory Load Throughput  1140.0GB/s  1174.7GB/s  1157.7GB/s
          3                   shared_store_throughput                             Shared Memory Store Throughput  95.019GB/s  97.914GB/s  96.491GB/s
          3                            gld_efficiency                              Global Memory Load Efficiency      82.37%      82.41%      82.39%
          3                            gld_throughput                                     Global Load Throughput  66.970GB/s  69.021GB/s  68.019GB/s
          3                            gst_efficiency                             Global Memory Store Efficiency      24.85%      24.85%      24.85%
          3                            gst_throughput                                    Global Store Throughput  1.0887GB/s  1.1218GB/s  1.1056GB/s
          3                         shared_efficiency                                   Shared Memory Efficiency      42.29%      42.29%      42.29%
          3                           global_hit_rate                          Global Hit Rate in unified l1/tex       7.76%       7.86%       7.79%
          3                      global_load_requests   Total number of global load requests from Multiprocessor      143372      143595      143488
          3                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
          3                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
          3                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
          3                           l2_tex_hit_rate                                          L2 Cache Hit Rate      21.28%      21.76%      21.51%
          3                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)       91665       92189       92008
          3                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        1620        1620        1620
          3                  shared_load_transactions                                   Shared Load Transactions      424096      424096      424096
          3                 shared_store_transactions                                  Shared Store Transactions       35348       35348       35348
          3                        tex_cache_hit_rate                                     Unified Cache Hit Rate      58.36%      58.55%      58.43%
          3                    tex_cache_transactions                                 Unified Cache Transactions      143559      143598      143580
    Kernel: void kernelPointwiseApply2<Tensor_sqrt_Float_Op, float, float, unsigned int, int=1, int=1>(OffsetInfo<float, unsigned int, int=1>, OffsetInfo<float, unsigned int, int=1>, unsigned int, Tensor_sqrt_Float_Op)
         28                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         28                             flop_count_sp                Floating Point Operations(Single Precision)          84     6656726      307790
         28                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         28                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         28                                inst_fp_32                                    FP Instructions(Single)          72     7229242      327296
         28                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         28                              inst_integer                                       Integer Instructions        2264    15635314      774555
         28                  gld_requested_throughput                           Requested Global Load Throughput  20.583MB/s  88.051GB/s  35.290GB/s
         28                  gst_requested_throughput                          Requested Global Store Throughput  20.583MB/s  88.051GB/s  35.290GB/s
         28                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         28                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         28                            gld_efficiency                              Global Memory Load Efficiency      75.00%     100.00%      98.05%
         28                            gld_throughput                                     Global Load Throughput  27.444MB/s  88.051GB/s  35.291GB/s
