==11259== NVPROF is profiling process 11259, command: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 1 --model MPNNv1 --log-interval 20 --profile-epoch-list 0 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_08__1
==11259== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11259== Profiling application: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 1 --model MPNNv1 --log-interval 20 --profile-epoch-list 0 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_08__1
==11259== Profiling result:
==11259== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
         66                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         66                             flop_count_sp                Floating Point Operations(Single Precision)      333312   411611136    39136256
         66                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         66                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         66                                inst_fp_32                                    FP Instructions(Single)      198144   206057472    19753239
         66                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         66                              inst_integer                                       Integer Instructions       68608    14893056     1707349
         66                  gld_requested_throughput                           Requested Global Load Throughput  2.2482GB/s  620.36GB/s  426.17GB/s
         66                  gst_requested_throughput                          Requested Global Store Throughput  803.64MB/s  36.461GB/s  8.3039GB/s
         66                    shared_load_throughput                              Shared Memory Load Throughput  34.793GB/s  1265.3GB/s  968.08GB/s
         66                   shared_store_throughput                             Shared Memory Store Throughput  21.975GB/s  636.05GB/s  504.07GB/s
         66                            gld_efficiency                              Global Memory Load Efficiency      99.64%     100.00%      99.89%
         66                            gld_throughput                                     Global Load Throughput  2.2563GB/s  620.36GB/s  426.18GB/s
         66                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         66                            gst_throughput                                    Global Store Throughput  803.64MB/s  36.461GB/s  8.3039GB/s
         66                         shared_efficiency                                   Shared Memory Efficiency      66.85%      75.82%      74.71%
         66                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       3.25%       1.02%
         66                      global_load_requests   Total number of global load requests from Multiprocessor         156      400000       37419
         66                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         66                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         66                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         66                           l2_tex_hit_rate                                          L2 Cache Hit Rate      15.32%      81.04%      41.71%
         66                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)         552     1600000      148258
         66                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)         192        4096        2912
         66                  shared_load_transactions                                   Shared Load Transactions        2128      815872       84899
         66                 shared_store_transactions                                  Shared Store Transactions        1344      410112       44206
         66                        tex_cache_hit_rate                                     Unified Cache Hit Rate       0.25%      29.47%      23.74%
         66                    tex_cache_transactions                                 Unified Cache Transactions         624     1600000      149677
         66                    dram_read_transactions                            Device Memory Read Transactions         614      306716       29141
         66                   dram_write_transactions                           Device Memory Write Transactions          12       26701        2920
    Kernel: void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
         69                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         69                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
         69                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         69                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         69                                inst_fp_32                                    FP Instructions(Single)        3200     1600000      142840
         69                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         69                              inst_integer                                       Integer Instructions       70804    35514032     3168206
         69                  gld_requested_throughput                           Requested Global Load Throughput  6.8369GB/s  91.489GB/s  71.108GB/s
         69                  gst_requested_throughput                          Requested Global Store Throughput  5.3218GB/s  63.398GB/s  52.215GB/s
