==11110== NVPROF is profiling process 11110, command: python train.py --epochs 200 --profile-epoch-list 100-110 --profile-batch-list 0 --sparse --prof-backprop
==11110== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11110== Profiling application: python train.py --epochs 200 --profile-epoch-list 100-110 --profile-batch-list 0 --sparse --prof-backprop
==11110== Profiling result:
==11110== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void kernelReduceAllPass1<long, unsigned int, long, thrust::identity<long>, ReduceMin<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)
         90                            gld_throughput                                     Global Load Throughput  97.173GB/s  119.64GB/s  103.74GB/s
         90                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         90                            gst_throughput                                    Global Store Throughput  48.586GB/s  59.821GB/s  51.869GB/s
         90                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         90                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         90                      global_load_requests   Total number of global load requests from Multiprocessor        3316        3316        3316
         90                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         90                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         90                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         90                           l2_tex_hit_rate                                          L2 Cache Hit Rate      33.33%      33.33%      33.33%
         90                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)       13264       13264       13264
         90                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        6632        6632        6632
         90                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         90                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         90                        tex_cache_hit_rate                                     Unified Cache Hit Rate       0.00%       0.00%       0.00%
         90                    tex_cache_transactions                                 Unified Cache Transactions        6632        6632        6632
    Kernel: void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)
        360                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        360                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
        360                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        360                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        360                                inst_fp_32                                    FP Instructions(Single)           0           0           0
        360                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        360                              inst_integer                                       Integer Instructions      627548     3503232     2080516
        360                  gld_requested_throughput                           Requested Global Load Throughput  21.193GB/s  72.399GB/s  50.327GB/s
        360                  gst_requested_throughput                          Requested Global Store Throughput  21.193GB/s  72.399GB/s  50.327GB/s
        360                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        360                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        360                            gld_efficiency                              Global Memory Load Efficiency      12.50%     100.00%      62.33%
        360                            gld_throughput                                     Global Load Throughput  46.489GB/s  243.09GB/s  89.282GB/s
        360                            gst_efficiency                             Global Memory Store Efficiency      99.98%     100.00%     100.00%
        360                            gst_throughput                                    Global Store Throughput  21.198GB/s  72.399GB/s  50.327GB/s
