==9640== NVPROF is profiling process 9640, command: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 1 --model MPNNv2 --log-interval 20 --profile-epoch-list 0 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_10__1
==9640== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9640== Profiling application: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 1 --model MPNNv2 --log-interval 20 --profile-epoch-list 0 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_10__1
==9640== Profiling result:
==9640== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
        326                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        326                             flop_count_sp                Floating Point Operations(Single Precision)      333312    17346560     8537219
        326                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        326                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        326                                inst_fp_32                                    FP Instructions(Single)      198144     8925184     4488060
        326                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        326                              inst_integer                                       Integer Instructions       68608     1032192      682750
        326                  gld_requested_throughput                           Requested Global Load Throughput  0.9863GB/s  268.15GB/s  129.01GB/s
        326                  gst_requested_throughput                          Requested Global Store Throughput  1.0903GB/s  34.758GB/s  17.521GB/s
        326                    shared_load_throughput                              Shared Memory Load Throughput  32.776GB/s  837.09GB/s  537.28GB/s
        326                   shared_store_throughput                             Shared Memory Store Throughput  20.394GB/s  457.02GB/s  305.62GB/s
        326                            gld_efficiency                              Global Memory Load Efficiency     100.00%     100.00%     100.00%
        326                            gld_throughput                                     Global Load Throughput  0.9863GB/s  268.15GB/s  129.01GB/s
        326                            gst_efficiency                             Global Memory Store Efficiency      83.33%     100.00%      99.95%
        326                            gst_throughput                                    Global Store Throughput  1.0903GB/s  34.758GB/s  17.522GB/s
        326                         shared_efficiency                                   Shared Memory Efficiency      69.65%      74.54%      72.43%
        326                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       3.75%       1.34%
        326                      global_load_requests   Total number of global load requests from Multiprocessor          60       14720        6517
        326                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
        326                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
        326                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
        326                           l2_tex_hit_rate                                          L2 Cache Hit Rate      10.92%      75.97%      47.23%
        326                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)         220       58880       25655
        326                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)         192        4096        3539
        326                  shared_load_transactions                                   Shared Load Transactions        2160       45952       27136
        326                 shared_store_transactions                                  Shared Store Transactions        1344       25088       15435
        326                        tex_cache_hit_rate                                     Unified Cache Hit Rate       6.11%      38.99%      25.28%
        326                    tex_cache_transactions                                 Unified Cache Transactions         240       58880       26070
        326                    dram_read_transactions                            Device Memory Read Transactions         191       18541        5605
        326                   dram_write_transactions                           Device Memory Write Transactions           0        6550        1912
    Kernel: void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
        417                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        417                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
        417                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        417                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        417                                inst_fp_32                                    FP Instructions(Single)        1280       58880       20344
        417                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        417                              inst_integer                                       Integer Instructions       27938     1346482      456621
        417                  gld_requested_throughput                           Requested Global Load Throughput  1.9607GB/s  64.382GB/s  34.551GB/s
        417                  gst_requested_throughput                          Requested Global Store Throughput  1.5884GB/s  44.250GB/s  24.649GB/s
